"idnum","father_fin_security_w234","mother_fin_security_w2345"
"0872","No","No"
"0873","Yes","Yes"
"0874",NA,"Yes"
"0875","No","No"
"0876","No","Yes"
"0877","Yes","Yes"
"0878","No","Yes"
"0879","No","Yes"
"0880","Yes","No"
"0881","No","Yes"
"0882","Yes","Yes"
"0883","Yes","Yes"
"0884",NA,"No"
"0885",NA,"Yes"
"0886",NA,"Yes"
"0887","Yes","Yes"
"0888",NA,"Yes"
"0889","Yes","No"
"0890","Yes","No"
"0891",NA,"No"
"0892","Yes","Yes"
"0893","No","No"
"0894","Yes","Yes"
"0895",NA,NA
"0896",NA,"No"
"0897","No","Yes"
"0898","No","No"
"0899","Yes","Yes"
"0900","Yes","Yes"
"0901","No","Yes"
"0902","Yes","Yes"
"0903","No","Yes"
"0904","Yes","Yes"
"0905","Yes","Yes"
"0906","Yes","Yes"
"0907",NA,"No"
"0908","Yes","Yes"
"0909","No","No"
"0910","No","Yes"
"0911","Yes","Yes"
"0912","No","No"
"0913","No","Yes"
"0914","Yes","Yes"
"0915",NA,"Yes"
"0916",NA,"Yes"
"0917","Yes","No"
"0918","No","No"
"0919","Yes","No"
"0920","No","Yes"
"0921","No","Yes"
"0922","Yes","No"
"0923","Yes","Yes"
"0924","No","Yes"
"0925",NA,"Yes"
"0926","Yes","No"
"0927","No","Yes"
"0928",NA,NA
"0929","Yes","Yes"
"0930",NA,"No"
"0931","Yes","Yes"
"0932",NA,"Yes"
"0933","Yes","No"
"0934","No","No"
"0935","No","Yes"
"0936","No","No"
"0937","No","Yes"
"0938",NA,"Yes"
"0939","No","No"
"0940","Yes","No"
"0941",NA,"No"
"0942","No","Yes"
"0943","No","Yes"
"0944","No","Yes"
"0945","Yes","Yes"
"0946","Yes","Yes"
"0947",NA,"Yes"
"0948",NA,"No"
"0949","Yes","No"
"0950","No","No"
"0951","Yes","No"
"0952","Yes","Yes"
"0953",NA,"No"
"0954","Yes","No"
"0955","Yes","Yes"
"0956","Yes","Yes"
"0957","Yes","Yes"
"0958","Yes","Yes"
"0959","Yes","No"
"0960","Yes","Yes"
"0961","No","Yes"
"0962","Yes","Yes"
"0963","No","Yes"
"0964","Yes","Yes"
"0965","No","No"
"0966","No","No"
"0967","No","No"
"0968","Yes","Yes"
"0969","Yes","No"
"0970","Yes","Yes"
"0971",NA,"Yes"
"0972","Yes","No"
"0973","Yes","Yes"
"0974",NA,"Yes"
"0975","Yes","Yes"
"0976","No","No"
"0977","No","No"
"0978",NA,"Yes"
"0979","Yes","Yes"
"0980",NA,NA
"0981",NA,NA
"0982","No","Yes"
"0983","No","No"
"0984","No","No"
"0985","Yes","Yes"
"0986","No","Yes"
"0987","Yes","Yes"
"0988","Yes","No"
"0989","No","No"
"0990","Yes","Yes"
"0991",NA,"Yes"
"0992","No","Yes"
"0993","Yes","Yes"
"0994","Yes","No"
"0995","No","No"
"0996","No","Yes"
"0997","No","Yes"
"0998","Yes","Yes"
"0999",NA,NA
"1000",NA,"Yes"
"1001","Yes","Yes"
"1002","Yes","No"
"1003","Yes","Yes"
"1004","Yes","No"
"1005","No","No"
"1006",NA,"Yes"
"1007","No","Yes"
"1008","No","No"
"1009","No","No"
"1010","Yes","Yes"
"1011","Yes","Yes"
"1012","No","Yes"
"1013","No",NA
"1014","Yes","Yes"
"1015","Yes","Yes"
"1016","Yes","Yes"
"1017","Yes","Yes"
"1018","No","Yes"
"1019","No","Yes"
"1020","Yes","No"
"1021","Yes","No"
"1022","No","Yes"
"1023","Yes","No"
"1024","No","Yes"
"1025","Yes","Yes"
"1026",NA,"No"
"1027","Yes","Yes"
"1028","Yes","Yes"
"1029",NA,"No"
"1030","No","No"
"1031","No","No"
"1032","No","No"
"1033","No","No"
"1034","No","Yes"
"1035","Yes","Yes"
"1036","No","Yes"
"1037","No","No"
"1038","No","Yes"
"1039","No","No"
"1040",NA,NA
"1041","Yes","Yes"
"1042","No","Yes"
"1043","No","Yes"
"1044","Yes","Yes"
"1045","Yes","Yes"
"1046","No","Yes"
"1047","No","No"
"1048","Yes","Yes"
"1049","No","Yes"
"1050","No","No"
"1051","Yes","Yes"
"1052","No","Yes"
"1053","No","Yes"
"1054","No","Yes"
"1055","Yes","Yes"
"1056","No","Yes"
"1057","Yes","No"
"1058","No","No"
"1059","No","No"
"1060","Yes","No"
"1061","No","No"
"1062","Yes","Yes"
"1063","Yes","Yes"
"1064","No","Yes"
"1065","Yes","Yes"
"1066","Yes","No"
"1067","No","Yes"
"1068",NA,"No"
"1069","No","Yes"
"1070","No","No"
"1071","No","No"
"1072","No","No"
"1073",NA,"Yes"
"1074","No","No"
"1075","No","Yes"
"1076","Yes","No"
"1077","Yes","No"
"1078","Yes","No"
"1079","No","Yes"
"1080",NA,NA
"1081","No","No"
"1082","No","Yes"
"1083","No","No"
"1084","Yes","Yes"
"1085",NA,"Yes"
"1086",NA,"Yes"
"1087","Yes","Yes"
"1088","No","No"
"1089","Yes","Yes"
"1090",NA,"No"
"1091","No","Yes"
"1092","No","No"
"1093","No","Yes"
"1094","No","No"
"1095","Yes","Yes"
"1096","No","Yes"
"1097","No","No"
"1098","No","Yes"
"1099","Yes","Yes"
"1100","Yes","Yes"
"1101","Yes","Yes"
"1102","No","Yes"
"1103","No","No"
"1104","Yes","Yes"
"1105","Yes","No"
"1106","No","No"
"1107","Yes","Yes"
